start	end	F4:HeadMovement	F4:janej	F4:yes	F4:no	F4:word01	F4:Face	F4:pitch	M1:pitch	F4:intensity	M1:intensity	F4:x-pos	F4:y-pos	F4:weight	F4:velocity-r	F4:velocity-clock	F4:velocity-x	F4:velocity-y	F4:acceleration-r	F4:acceleration-clock	F4:acceleration-x	F4:acceleration-y	F4:jerk-r	F4:jerk-clock	F4:jerk-x	F4:jerk-y
26828	26832			0	0	0		531.2088933785179	529.4917048661414	36.47197903927412	30.582840054429834	396.582000	95.767400	0.871985	0.047761	12	-0.002917	-0.047672	0.000189	1	0.000100	-0.000160	0.000132	2	0.000107	-0.000078
26832	26836			0	0	0		531.2088933785179	529.4917048661414	37.4220184418081	39.92809957203326	396.569000	95.779900	0.866898	0.080856	12	-0.000367	-0.080855	0.008202	12	0.000458	-0.008189	0.004344	6	0.000077	0.004343
26836	26840			0	0	0		531.2088933785179	529.4917048661414	39.449156987223716	38.56641659050859	396.551000	95.778700	0.863743	0.113381	12	0.000400	-0.113380	0.023103	6	0.000217	0.023102	0.007132	6	-0.000033	0.007131
26840	26844			0	0	0		531.2088933785179	529.4917048661414	43.926244513358654	43.901815616753545	396.529000	95.770900	0.853064	0.002259	7	-0.000683	0.002153	0.047825	6	-0.000066	0.047825	0.003189	6	0.000036	0.003189
26844	26848			0	0	0		531.2088933785179	529.4917048661414	48.57851156198925	49.62897264502349	396.556000	95.767000	0.859972	0.115205	6	-0.001283	0.115198	0.040175	6	0.000520	0.040171	0.007164	12	0.000018	-0.007164
26848	26852			0	0	0		531.2088933785179	529.4917048661414	47.115999890561824	44.22643364240709	396.581000	95.767800	0.864661	0.148506	6	0.001500	0.148498	0.001362	1	0.000516	-0.001261	0.006022	12	-0.000081	-0.006021
26852	26856			0	0	0		531.2088933785179	529.4917048661414	43.18873782158252	42.46001841354641	396.560000	95.775900	0.858249	0.098832	6	0.002067	0.098810	0.001151	12	-0.000106	-0.001146	0.002294	12	-0.000142	-0.002290
26856	26860			0	0	0		531.2088933785179	529.4917048661414	57.25555816330562	57.77293789134002	396.556000	96.779700	0.859881	0.115482	6	0.001433	0.115473	0.004606	12	-0.000485	-0.004581	0.001807	12	-0.000131	-0.001802
26860	26864			0	0	0		547.1438244535368	98.33298743521117	58.05415282228858	58.424273616799326	396.555000	96.747700	0.863568	0.115748	6	-0.000650	0.115747	0.009651	12	-0.001000	-0.009599	0.004140	12	0.000061	-0.004139
26864	26868			0	0	0		547.1438244535368	98.33298743521117	55.77927591375392	56.032573060532435	396.574000	96.774000	0.863902	0.097900	6	-0.002850	0.097858	0.030722	12	-0.000114	-0.030722	0.000314	5	0.000113	0.000293
26868	26872			0	0	0		98.33039925425922	98.33298743521117	56.52145335962735	57.24504558562821	396.555000	95.765200	0.863491	0.003456	11	-0.001100	-0.003277	0.020061	12	0.000045	-0.020061	0.003289	6	0.000098	0.003288
26872	26876			0	0	0		98.33039925425922	98.33298743521117	54.190791307798456	52.631730829107894	396.556000	96.758300	0.863265	0.036526	12	-0.001867	-0.036478	0.005607	12	0.000166	-0.005604	0.004432	6	0.000026	0.004432
26876	26880			0	0	0		98.33039925425922	98.33298743521117	46.26099926778738	44.31983445139264	396.563000	96.767100	0.866841	0.001618	11	-0.000800	-0.001407	0.014221	6	0.000323	0.014217	0.000060	6	0.000015	0.000058
26880	26884			0	0	0		98.33039925425922	98.33298743521117	58.094862862983334	59.24962037851607	396.536000	96.748600	0.853331	0.030799	6	-0.000517	0.030795	0.005614	12	0.000176	-0.005611	0.004302	12	-0.000008	-0.004302
26884	26888			0	0	0		116.72198157498664	163.21160852931675	54.50934925868721	53.597930897461424	396.559000	95.744300	0.868215	0.000680	12	0.000017	-0.000680	0.018938	12	0.000258	-0.018936	0.003179	12	0.000066	-0.003178
